accession	first_public	tax_id	scientific_name	base_count	last_updated	description
AF006564	1997-09-11	7234	Drosophila persimilis	3482	2005-04-15	Drosophila persimilis alcohol dehydrogenase (Adh) and alcohol dehydrogenase (Adh-dup) genes, complete cds.
AY279327	2004-03-31	51159	Drosophila lutescens	2773	2006-11-14	Drosophila lutescens alcohol dehydrogenase (Adh) and alcohol dehydrogenase related (Adhr) genes, complete cds.
AF399012	2001-08-16	42027	Drosophila kuntzei	4800	2005-04-15	Drosophila kuntzei alcohol dehydrogenase (Adh) and alcohol dehydrogenase-related protein (Adhr) genes, complete cds.
JF735884	2011-10-24	7283	Drosophila phalerata	370	2011-10-24	Drosophila phalerata alcohol dehydrogenase gene, partial cds.
M19264	1988-10-04	7226	Drosophila mauritiana	4581	2006-11-14	D.mauritiana alcohol dehydrogenase gene, complete cds.
X62212	1992-10-16	7237	Drosophila pseudoobscura	3459	2006-11-14	D.pseudoobscura Adh gene for alcohol dehydrogenase
X64473	1992-10-16	7237	Drosophila pseudoobscura	3487	2006-11-14	D.pseudoobscura Adh gene for alcohol dehydrogenase
X64475	1992-10-16	7237	Drosophila pseudoobscura	3470	2006-11-14	D.pseudoobscura Adh gene for alcohol dehydrogenase
X64489	1992-10-16	7237	Drosophila pseudoobscura	3472	2006-11-14	D.pseudoobscura Adh gene for alcohol dehydrogenase
JF735883	2011-10-24	7282	Drosophila obscura	639	2011-10-24	Drosophila obscura alcohol dehydrogenase gene, partial cds.
X62187	1992-10-16	7237	Drosophila pseudoobscura	3444	2006-11-14	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62234	1992-10-16	7237	Drosophila pseudoobscura	3499	2006-11-14	D.pseudoobscura Adh gene for alcohol dehydrogenase
X64488	1992-10-16	7237	Drosophila pseudoobscura	3469	2006-11-14	D.pseudoobscura Adh gene for alcohol dehydrogenase
U68469	1999-01-06	7266	Drosophila guanche	2146	1999-09-17	Drosophila guanche alcohol dehydrogenase (Adh) processed pseudogene.
X62227	1992-10-16	7237	Drosophila pseudoobscura	3444	2006-11-14	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62237	1992-10-16	7237	Drosophila pseudoobscura	3470	2006-11-14	D.pseudoobscura Adh gene for alcohol dehydrogenase
X64479	1992-10-16	7237	Drosophila pseudoobscura	3459	2006-11-14	D.pseudoobscura Adh gene for alcohol dehydrogenase
AH000981	2011-06-30	7227	Drosophila melanogaster	271	2011-06-30	Drosophila melanogaster alcohol dehydrogenase gene, partial cds.
M63392	1991-04-04	7235	Drosophila picticornis	1598	2006-11-14	Drosophila picticornis alcohol dehydrogenase gene, complete cds.
X64482	1992-10-16	7237	Drosophila pseudoobscura	3498	2006-11-14	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62197	1992-10-16	7237	Drosophila pseudoobscura	3490	2006-11-14	D.pseudoobscura Adh gene for alcohol dehydrogenase
X64483	1992-10-16	7237	Drosophila pseudoobscura	3463	2006-11-14	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62205	1992-10-16	7237	Drosophila pseudoobscura	3479	2006-11-14	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62207	1992-10-16	7237	Drosophila pseudoobscura	3467	2006-11-14	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62230	1992-10-16	7237	Drosophila pseudoobscura	3474	2006-11-14	D.pseudoobscura Adh gene for alcohol dehydrogenase
X64474	1992-10-16	7237	Drosophila pseudoobscura	3475	2006-11-14	D.pseudoobscura Adh gene for alcohol dehydrogenase
X64484	1992-10-16	7237	Drosophila pseudoobscura	3472	2006-11-14	D.pseudoobscura Adh gene for alcohol dehydrogenase
U68471	1999-01-06	30013	Drosophila madeirensis	1042	1999-09-17	Drosophila madeirensis alcohol dehydrogenase (Adh) processed pseudogene.
X62202	1992-10-16	7237	Drosophila pseudoobscura	3476	2006-11-14	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62208	1992-10-16	7237	Drosophila pseudoobscura	3468	2006-11-14	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62216	1992-10-16	7237	Drosophila pseudoobscura	3481	2006-11-14	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62231	1992-10-16	7237	Drosophila pseudoobscura	3465	2006-11-14	D.pseudoobscura Adh gene for alcohol dehydrogenase
X64481	1992-10-16	7237	Drosophila pseudoobscura	3494	2006-11-14	D.pseudoobscura Adh gene for alcohol dehydrogenase
AY238780	2003-04-08	7229	Drosophila miranda	2042	2005-04-16	Drosophila miranda strain MSH22 alcohol dehydrogenase (Adh) gene, complete cds and alcohol dehydrogenase related protein (Adhr) gene, partial cds.
AY238781	2003-04-08	7229	Drosophila miranda	2042	2005-04-16	Drosophila miranda strain MSH38 alcohol dehydrogenase (Adh) gene, complete cds and alcohol dehydrogenase related protein (Adhr) gene, partial cds.
AB026529	1999-10-29	46793	Drosophila paulistorum	776	2005-04-14	Drosophila paulistorum gene for alcohol dehydrogenase, partial cds.
AY006424	2001-09-04	46819	Drosophila obscuripes	510	2005-09-26	Drosophila obscuripes alcohol dehydrogenase (Adh) gene, partial cds.
